 17COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x70, 0x40, 0x00, 0x00, 0x00, 0x0
 18COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xB0, 0x40, 0x00, 0x00, 0x00, 0x0
 19COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x30, 0x40, 0x00, 0x00, 0x00, 0x0
 20COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xD0, 0x40, 0x00, 0x00, 0x00, 0x0
 21COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x50, 0x40, 0x00, 0x00, 0x00, 0x0
 22COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x90, 0x40, 0x00, 0x00, 0x00, 0x0
 23COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x10, 0x40, 0x00, 0x00, 0x00, 0x0
 24COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xE0, 0x40, 0x00, 0x00, 0x00, 0x0
 25COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x60, 0x40, 0x00, 0x00, 0x00, 0x0
 26COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xA0, 0x40, 0x00, 0x00, 0x00, 0x0
 27COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x20, 0x40, 0x00, 0x00, 0x00, 0x0
 28COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xC0, 0x40, 0x00, 0x00, 0x00, 0x0
 29COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x40, 0x40, 0x00, 0x00, 0x00, 0x0
 30COOL       LOW     OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x80, 0x40, 0x00, 0x00, 0x00, 0x0
 16COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xF0, 0xC0, 0x00, 0x00, 0x00, 0x0
 17COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x70, 0xC0, 0x00, 0x00, 0x00, 0x0
 18COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xB0, 0xC0, 0x00, 0x00, 0x00, 0x0
 19COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x30, 0xC0, 0x00, 0x00, 0x00, 0x0
 20COOL       MEDIUM  OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xD0, 0xC0, 0x00, 0x00, 0x00, 0x0
